Measure Name,Measure ID,Measure Start Quarter,Measure Start Date,Measure End Quarter,Measure End Date
Gastrointestinal Hemorrhage Clinical Episode-Based Payment,GI,1Q2017,01/01/2017,4Q2017,12/31/2017
CAUTI_Score,HACRP_CAUTI,1Q2016,01/01/2016,4Q2017,12/31/2017
CDI_Score,HACRP_CDI,1Q2016,01/01/2016,4Q2017,12/31/2017
CLABSI_Score,HACRP_CLABSI,1Q2016,01/01/2016,4Q2017,12/31/2017
Domain_1_Score,HACRP_D1,4Q2015,10/01/2015,2Q2017,06/30/2017
Domain_2_Score,HACRP_D2,1Q2016,01/01/2016,4Q2017,12/31/2017
MRSA_Score,HACRP_MRSA,1Q2016,01/01/2016,4Q2017,12/31/2017
AHRQ_PSI_90_Score,HACRP_PSI90,4Q2015,10/01/2015,2Q2017,06/30/2017
SSI_Score,HACRP_SSI,1Q2016,01/01/2016,4Q2017,12/31/2017
Total_HAC_Score,HACRP_Total,4Q2015,10/01/2015,4Q2017,12/31/2017
Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1,4Q2017,10/01/2017,3Q2018,09/30/2018
Central Line Associated Bloodstream Infection,HAI_1_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
Central Line Associated Bloodstream Infection,HAI_1_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2,4Q2017,10/01/2017,3Q2018,09/30/2018
Catheter Associated Urinary Tract Infections,HAI_2_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
Catheter Associated Urinary Tract Infections,HAI_2_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
SSI - Colon Surgery,HAI_3,4Q2017,10/01/2017,3Q2018,09/30/2018
SSI - Colon Surgery,HAI_3_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
SSI - Colon Surgery,HAI_3_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
SSI - Abdominal Hysterectomy,HAI_4,4Q2017,10/01/2017,3Q2018,09/30/2018
SSI - Abdominal Hysterectomy,HAI_4_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
SSI - Abdominal Hysterectomy,HAI_4_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
MRSA Bacteremia,HAI_5,4Q2017,10/01/2017,3Q2018,09/30/2018
MRSA,HAI_5_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
MRSA,HAI_5_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Clostridium Difficile (C.Diff),HAI_6,4Q2017,10/01/2017,3Q2018,09/30/2018
CDI,HAI_6_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
CDI,HAI_6_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Hours of physical-restraint use,HBIPS_2,1Q2017,01/01/2017,4Q2017,12/31/2017
Hours of seclusion,HBIPS_3,1Q2017,01/01/2017,4Q2017,12/31/2017
Patients discharged on multiple antipsychotic medications with appropriate justification,HBIPS_5,1Q2017,01/01/2017,4Q2017,12/31/2017
HCAHPS Measures,HCAHPS_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
HCAHPS Measures,HCAHPS_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Healthcare Personnel Influenza Vaccination,IPFQR_HCP_FluVac,4Q2017,10/01/2017,1Q2018,03/31/2018
Communication with Nurses,Composite 1 Q1 to Q3,4Q2017,10/01/2017,3Q2018,09/30/2018
Patient satisfaction survey results,HCAHPS,4Q2017,10/01/2017,3Q2018,09/30/2018
Communication with Doctors,Composite 2 Q5 to Q7,4Q2017,10/01/2017,3Q2018,09/30/2018
Responsiveness of Hospital Staff,Composite 3 Q4 to Q11,4Q2017,10/01/2017,3Q2018,09/30/2018
Communication about Medicines,Composite 5 Q16 to Q17,4Q2017,10/01/2017,3Q2018,09/30/2018
Discharge Information,Composite 6 Q19 to Q20,4Q2017,10/01/2017,3Q2018,09/30/2018
Care Transition,Composite 7 (Q23 to 25),4Q2017,10/01/2017,3Q2018,09/30/2018
Influenza Immunization,IMM_2,4Q2017,10/01/2017,1Q2018,03/31/2018
Healthcare Personnel Influenza Vaccination,IMM_3_OP_27,4Q2017,10/01/2017,1Q2018,03/31/2018
Influenza Immunization,IPFQR_IMM_2,4Q2017,10/01/2017,1Q2018,03/31/2018
Kidney/Urinary Tract Infection Clinical Episode-Based Payment,Kidney_UTI,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH HCAHPS Linear Score,Linear Score,4Q2017,10/01/2017,3Q2018,09/30/2018
HCAHPS Linear Score for each measure,Linear Score,4Q2017,10/01/2017,3Q2018,09/30/2018
Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,3Q2015,07/01/2015,2Q2018,06/30/2018
Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI_HVBP_Baseline,3Q2009,07/01/2009,2Q2012,06/30/2012
Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI_HVBP_Performance,3Q2014,07/01/2014,2Q2017,06/30/2017
30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,MORT_30_CABG,3Q2015,07/01/2015,2Q2018,06/30/2018
Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,MORT_30_COPD,3Q2015,07/01/2015,2Q2018,06/30/2018
Heart Failure (HF) 30-Day Mortality Rate,MORT_30_HF,3Q2015,07/01/2015,2Q2018,06/30/2018
Heart Failure (HF) 30-Day Mortality Rate,MORT_30_HF_HVBP_Baseline,3Q2009,07/01/2009,2Q2012,06/30/2012
Heart Failure (HF) 30-Day Mortality Rate,MORT_30_HF_HVBP_Performance,3Q2014,07/01/2014,2Q2017,06/30/2017
Pneumonia 30-Day Mortality Rate,MORT_30_PN,3Q2015,07/01/2015,2Q2018,06/30/2018
Pneumonia 30-Day Mortality Rate,MORT_30_PN_HVBP_Baseline,3Q2009,07/01/2009,2Q2012,06/30/2012
Pneumonia 30-Day Mortality Rate,MORT_30_PN_HVBP_Performance,3Q2014,07/01/2014,2Q2017,06/30/2017
Acute Ischemic Stroke (STK) 30-Day Mortality Rate,MORT_30_STK,3Q2015,07/01/2015,2Q2018,06/30/2018
Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),MSPB_1,1Q2017,01/01/2017,4Q2017,12/31/2017
Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),MSPB_1_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),MSPB_1_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Abdomen CT - Use of Contrast Material,OP_10,3Q2017,07/01/2017,2Q2018,06/30/2018
Thorax CT - Use of Contrast Material,OP_11,3Q2017,07/01/2017,2Q2018,06/30/2018
The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC-Certified,OP_12,1Q2017,01/01/2017,4Q2017,12/31/2017
Cardiac Imaging for Preoperative Risk Assessment for Non-Cardiac Low-Risk Surgery,OP_13,3Q2017,07/01/2017,2Q2018,06/30/2018
Simultaneous Use of Brain Computed Tomography (CT) and Sinus Computed Tomography (CT),OP_14,3Q2017,07/01/2017,2Q2018,06/30/2018
Tracking Clinical Results between Visits,OP_17,1Q2017,01/01/2017,4Q2017,12/31/2017
Median Time from ED Arrival to ED Departure for Discharged ED Patients,OP_18b,4Q2017,10/01/2017,3Q2018,09/30/2018
Median Time from ED Arrival to ED Departure for Discharged ED Patients-Psychiatric/Mental Health Patients,OP_18c,4Q2017,10/01/2017,3Q2018,09/30/2018
Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,OP_2,4Q2017,10/01/2017,3Q2018,09/30/2018
Left without being seen,OP_22,1Q2017,01/01/2017,4Q2017,12/31/2017
Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or M,OP_23,4Q2017,10/01/2017,3Q2018,09/30/2018
Safe Surgery Checklist Use,OP_25,1Q2017,01/01/2017,4Q2017,12/31/2017
Hospital Outpatient Volume on Selected Outpatient Surgical Procedures,OP_26,1Q2017,01/01/2017,4Q2017,12/31/2017
Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,OP_29,1Q2017,01/01/2017,4Q2017,12/31/2017
Colonoscopy Interval for Patients with a History of Adenomatous Polyps - Avoidance of Inappropriate Use,OP_30,1Q2017,01/01/2017,4Q2017,12/31/2017
Cataracts - Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,OP_31,1Q2017,01/01/2017,4Q2017,12/31/2017
Facility 7-Day Risk Standardized Hospital Visit Rate after Outpatient Colonoscopy,OP_32,1Q2017,01/01/2017,4Q2017,12/31/2017
External Beam Radiotherapy for Bone Metastases,OP_33,1Q2017,01/01/2017,4Q2017,12/31/2017
Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate,OP_3b,4Q2017,10/01/2017,3Q2018,09/30/2018
Median Time to ECG,OP_5,4Q2017,10/01/2017,3Q2018,09/30/2018
MRI Lumbar Spine for Low Back Pain,OP_8,3Q2017,07/01/2017,2Q2018,06/30/2018
Mammography Follow-up Rates,OP_9,3Q2017,07/01/2017,2Q2018,06/30/2018
Risk-Standardized Payment Associated with a 30-Day AMI Episode-of-Care for Acute Myocardial Infarction,PAYM_30_AMI,3Q2015,07/01/2015,2Q2018,06/30/2018
Risk-Standardized Payment Associated with a 30-Day Episode of Care for Heart Failure,PAYM_30_HF,3Q2015,07/01/2015,2Q2018,06/30/2018
Risk-Standardized Payment Associated with a 30-Day Episode of Care for Pneumonia,PAYM_30_PN,3Q2015,07/01/2015,2Q2018,06/30/2018
Risk-Standardized Payment Associated with a 90-Day Episode of Care for THA/TKA,PAYM_90_HIP_KNEE,2Q2015,04/01/2015,1Q2018,03/31/2018
Radiation Dose Limits to Normal Tissues,PCH_14,1Q2017,01/01/2017,4Q2017,12/31/2017
Plan of Care for Pain - Medical Oncology and Radiation Oncology,PCH_15,1Q2017,01/01/2017,4Q2017,12/31/2017
Medical and Radiation - Pain Intensity Quantified,PCH_16,1Q2017,01/01/2017,4Q2017,12/31/2017
Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients,PCH_17,1Q2017,01/01/2017,4Q2017,12/31/2017
Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients,PCH_18,1Q2017,01/01/2017,4Q2017,12/31/2017
External Beam Radiotherapy for Bone Metastases,PCH_25,1Q2017,01/01/2017,4Q2017,12/31/2017
Adjuvant Hormonal Therapy,PCH_3,4Q2016,10/01/2016,3Q2017,09/30/2017
Elective Delivery,PC_01,4Q2017,10/01/2017,3Q2018,09/30/2018
Elective Delivery,PC_01_HVBP_Baseline,1Q2015,01/01/2015,4Q2015,12/31/2015
Elective Delivery,PC_01_HVBP_Performance,1Q2017,01/01/2017,4Q2017,12/31/2017
Assessment of Patient Experience of Care,IPFQR_PEoC,1Q2017,01/01/2017,4Q2017,12/31/2017
Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10,3Q2016,07/01/2016,2Q2018,06/30/2018
Postoperative Respiratory Failure Rate,PSI_11,3Q2016,07/01/2016,2Q2018,06/30/2018
Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12,3Q2016,07/01/2016,2Q2018,06/30/2018
Postoperative Sepsis Rate,PSI_13,3Q2016,07/01/2016,2Q2018,06/30/2018
Postoperative Wound Dehiscence Rate,PSI_14,3Q2016,07/01/2016,2Q2018,06/30/2018
Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15,3Q2016,07/01/2016,2Q2018,06/30/2018
Pressure Ulcer Rate,PSI_3,3Q2016,07/01/2016,2Q2018,06/30/2018
Death among surgical inpatients with serious treatable complications Rate,PSI_4,3Q2016,07/01/2016,2Q2018,06/30/2018
"Iatrogenic pneumothorax, adult Rate",PSI_6,3Q2016,07/01/2016,2Q2018,06/30/2018
In-Hospital Fall With Hip Fracture Rate,PSI_8,3Q2016,07/01/2016,2Q2018,06/30/2018
Perioperative Hemorrhage or Hematoma Rate,PSI_9,3Q2016,07/01/2016,2Q2018,06/30/2018
Patient Safety and Adverse Events Composite,PSI_90,3Q2016,07/01/2016,2Q2018,06/30/2018
Cleanliness of Hospital Environment,Q8,4Q2017,10/01/2017,3Q2018,09/30/2018
Quietness of Hospital Environment,Q9,4Q2017,10/01/2017,3Q2018,09/30/2018
Overall Rating of Hospital,Q21,4Q2017,10/01/2017,3Q2018,09/30/2018
Willingness to Recommend this Hospital,Q22,4Q2017,10/01/2017,3Q2018,09/30/2018
Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,3Q2015,07/01/2015,2Q2018,06/30/2018
Acute Myocardial Infarction (AMI) 30-Day Readmissions,READM_30_AMI_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG),READM_30_CABG,3Q2015,07/01/2015,2Q2018,06/30/2018
30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG),READM_30_CABG_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate,READM_30_COPD,3Q2015,07/01/2015,2Q2018,06/30/2018
Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate,READM_30_COPD_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
Heart Failure (HF) 30-Day Readmission Rate,READM_30_HF,3Q2015,07/01/2015,2Q2018,06/30/2018
Heart Failure (HF) 30-Day Readmissions,READM_30_HF_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty,READM_30_HIP_KNEE,3Q2015,07/01/2015,2Q2018,06/30/2018
Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),READM_30_HIP_KNEE_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,READM_30_HOSP_WIDE,3Q2017,07/01/2017,2Q2018,06/30/2018
Rate of readmission after discharge from hospital,READM_30_IPF,3Q2015,07/01/2015,2Q2017,06/30/2017
Pneumonia 30-Day Readmission Rate,READM_30_PN,3Q2015,07/01/2015,2Q2018,06/30/2018
Pneumonia 30-Day Readmissions,READM_30_PN_HRRP,3Q2014,07/01/2014,2Q2017,06/30/2017
Severe Sepsis and Septic Shock,SEP_1,4Q2017,10/01/2017,3Q2018,09/30/2018
Screening for Metabolic Disorders,SMD,1Q2017,01/01/2017,4Q2017,12/31/2017
Safe Surgery Checklist Use,SM_5,1Q2017,01/01/2017,4Q2017,12/31/2017
Hospital Survey on Patient Safety Culture,SM_6,1Q2017,01/01/2017,4Q2017,12/31/2017
Alcohol Use Screening,SUB_1,1Q2017,01/01/2017,4Q2017,12/31/2017
Alcohol Use Brief Intervention Provided or Offered,SUB_2,1Q2017,01/01/2017,4Q2017,12/31/2017
Alcohol Use Brief Intervention,SUB_2a,1Q2017,01/01/2017,4Q2017,12/31/2017
Alcohol and other Drug Use Disorder Treatment Provided or Offered at Discharge,SUB_3,1Q2017,01/01/2017,4Q2017,12/31/2017
Alcohol and other Drug Use Disorder Treatment Provided at Discharge,SUB_3a,1Q2017,01/01/2017,4Q2017,12/31/2017
Spinal Fusion Clinical Episode-Based Payment,Sfusion,1Q2017,01/01/2017,4Q2017,12/31/2017
HCAHPS Summary Star Rating,Star Rating,4Q2017,10/01/2017,3Q2018,09/30/2018
Tobacco Use Screening,TOB_1,1Q2017,01/01/2017,4Q2017,12/31/2017
Tobacco Use Treatment Provided or Offered,TOB_2,1Q2017,01/01/2017,4Q2017,12/31/2017
Tobacco Use Treatment (during the hospital stay),TOB_2a,1Q2017,01/01/2017,4Q2017,12/31/2017
Tobacco Use Treatment Provided or Offered at Discharge,TOB_3,1Q2017,01/01/2017,4Q2017,12/31/2017
Tobacco Use Treatment at Discharge,TOB_3a,1Q2017,01/01/2017,4Q2017,12/31/2017
Transition Record with Specified Elements,TR1,1Q2017,01/01/2017,4Q2017,12/31/2017
Timely Transmission of Transition Record,TR2,1Q2017,01/01/2017,4Q2017,12/31/2017
Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4Q2017,10/01/2017,3Q2018,09/30/2018
