"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Heart Failure (HF) 30-Day Mortality Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Mortality Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Medicare Hospital Spending by Claim","1Q2012","01/01/2012","4Q2012","12/31/2012"
"MV","4Q2011","10/01/2011","3Q2012","09/30/2012"
"Median Time to Fibrinolysis","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Abdomen CT - Use of Contrast Material","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Thorax CT - Use of Contrast Material","1Q2011","01/01/2011","4Q2011","12/31/2011"
"The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data","1Q2012","01/01/2012","2Q2012","06/30/2012"
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT)","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Tracking Clinical Results Between Visits","1Q2012","01/01/2012","2Q2012","06/30/2012"
"Median Time from ED Arrival to ED Departure for Discharged ED Patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Median Time from ED Arrival to Provider Contact for ED patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Median Time to Pain Management for Long Bone Fracture","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Left Without Being Seen","1Q2012","01/01/2012","2Q2012","06/30/2012"
"Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Aspirin at Arrival","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Median Time to ECG","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Timing of Antibiotic Prophylaxis","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Prophylactic Antibiotic Selection for Surgical Patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"MRI Lumbar Spine for Low Back Pain","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Mammography Follow-up Rates","1Q2011","01/01/2011","4Q2011","12/31/2011"
"Elective Delivery","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT)","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Postoperative wound dehiscence ","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Accidental puncture or laceration  ","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Death among surgical inpatients with serious treatable complications","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Iatrogenic pneumothorax, adult","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Complication/patient safety for selected indicators (composite)","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Acute Myocardial Infarction (AMI) 30-Day Readmissions","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Heart  Failure (HF) 30-Day Readmission Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Heart Failure (HF) 30-Day Readmissions","3Q2009","07/01/2009","2Q2012","06/30/2012"
"30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","3Q2009","07/01/2009","2Q2012","06/30/2012"
"30-Day Hospital-Wide All-Cause Unplanned Readmission Rate","3Q2011","07/01/2011","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Readmission Rate","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Readmissions","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Surgery Patients with Perioperative Temperature Management","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Prophylactic Antibiotic Selection for Surgical Patients","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Participates in a Systematic Database for Cardiac Surgery","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participates in a Systematic Clinical Database Registry for Stroke Care","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participates in a Systematic Clinical Database Registry for Nursing Sensitive Care","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participation in a Systematic Clinical Database Registry for General Surgery","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Venous Thromboembolism (VTE) Prophylaxis","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Assessed for Rehabilitation","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Discharged on Antithrombotic Therapy","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Anticoagulation Therapy for Atrial Fibrillation/Flutter","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Thrombolytic Therapy","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Antithrombotic Therapy By End of Hospital Day 2","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Discharged on Statin Medication","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Stroke Education","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Venous Thromboembolism Prophylaxis","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Intensive Care Unit Venous Thromboembolism Prophylaxis","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Venous Thromboembolism Patients with Anticoagulation Overlap Therapy","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Venous Thromboembolism Warfarin Therapy Discharge Instructions","1Q2013","01/01/2013","2Q2013","06/30/2013"
"Hospital Acquired Potentially-Preventable Venous Thromboembolism","1Q2013","01/01/2013","2Q2013","06/30/2013"
