"Measure ID","Measure Name","Measure Start Quarter","Start Date","Measure End Quarter","End Date"
OP_22,Left without being seen,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_23,Head CT or MRI Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or M,1Q2018,01/01/2018,4Q2018,12/31/2018
OP_25,Safe Surgery Checklist Use,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_26,Hospital Outpatient Volume on Selected Outpatient Surgical Procedures,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_29,Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_30,Colonoscopy Interval for Patients with a History of Adenomatous Polyps - Avoidance of Inappropriate Use,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_31,Cataracts - Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_32,Facility 7-Day Risk Standardized Hospital Visit Rate after Outpatient Colonoscopy,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_33,External Beam Radiotherapy for Bone Metastases,1Q2017,01/01/2017,4Q2017,12/31/2017
OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate,1Q2018,01/01/2018,4Q2018,12/31/2018
OP_5,Median Time to ECG,1Q2018,01/01/2018,4Q2018,12/31/2018
OP_8,MRI Lumbar Spine for Low Back Pain,3Q2017,07/01/2017,2Q2018,06/30/2018
OP_9,Mammography Follow-up Rates,3Q2017,07/01/2017,2Q2018,06/30/2018
PAYM_30_AMI,Risk-Standardized Payment Associated with a 30-Day AMI Episode-of-Care for Acute Myocardial Infarction,3Q2015,07/01/2015,2Q2018,06/30/2018
PAYM_30_HF,Risk-Standardized Payment Associated with a 30-Day Episode of Care for Heart Failure,3Q2015,07/01/2015,2Q2018,06/30/2018
PAYM_30_PN,Risk-Standardized Payment Associated with a 30-Day Episode of Care for Pneumonia,3Q2015,07/01/2015,2Q2018,06/30/2018
PAYM_90_HIP_KNEE,Risk-Standardized Payment Associated with a 90-Day Episode of Care for THA/TKA,2Q2015,04/01/2015,1Q2018,03/31/2018
PCH_14,Radiation Dose Limits to Normal Tissues,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_15,Plan of Care for Pain - Medical Oncology and Radiation Oncology,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_16,Medical and Radiation - Pain Intensity Quantified,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_17,Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_18,Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_25,External Beam Radiotherapy for Bone Metastases,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_26,Clostridium Difficile (C.Diff),1Q2018,01/01/2018,4Q2018,12/31/2018
PCH_27,MRSA Bacteremia,1Q2018,01/01/2018,4Q2018,12/31/2018
PCH_28,Influenza Vaccination Coverage Among Healthcare Personnel (HCP),4Q2018,10/01/2018,1Q2019,03/31/2019
PCH_3,Adjuvant Hormonal Therapy,1Q2017,01/01/2017,4Q2017,12/31/2017
PCH_6,Surgical Site Infection from colon surgery (SSI: Colon),1Q2018,01/01/2018,4Q2018,12/31/2018
PCH_7,Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),1Q2018,01/01/2018,4Q2018,12/31/2018
PC_01,Elective Delivery,1Q2018,01/01/2018,4Q2018,12/31/2018
PC_01_HVBP_Baseline,Elective Delivery,1Q2015,01/01/2015,4Q2015,12/31/2015
PC_01_HVBP_Performance,Elective Delivery,1Q2017,01/01/2017,4Q2017,12/31/2017
IPFQR_PEoC,Assessment of Patient Experience of Care,1Q2017,01/01/2017,4Q2017,12/31/2017
PSI_10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_11,Postoperative Respiratory Failure Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_13,Postoperative Sepsis Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_14,Postoperative Wound Dehiscence Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_3,Pressure Ulcer Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_4,Death among surgical inpatients with serious treatable complications Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_6,"Iatrogenic pneumothorax, adult Rate",3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_8,In-Hospital Fall With Hip Fracture Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_9,Perioperative Hemorrhage or Hematoma Rate,3Q2016,07/01/2016,2Q2018,06/30/2018
PSI_90,Patient Safety and Adverse Events Composite,3Q2016,07/01/2016,2Q2018,06/30/2018
Q8,Cleanliness of Hospital Environment,1Q2018,01/01/2018,4Q2018,12/31/2018
Q9,Quietness of Hospital Environment,1Q2018,01/01/2018,4Q2018,12/31/2018
Q21,Overall Rating of Hospital,1Q2018,01/01/2018,4Q2018,12/31/2018
Q22,Willingness to Recommend this Hospital,1Q2018,01/01/2018,4Q2018,12/31/2018
READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_AMI_HRRP,Acute Myocardial Infarction (AMI) 30-Day Readmissions,3Q2014,07/01/2014,2Q2017,06/30/2017
READM_30_CABG,30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG),3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_CABG_HRRP,30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG),3Q2014,07/01/2014,2Q2017,06/30/2017
READM_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_COPD_HRRP,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate,3Q2014,07/01/2014,2Q2017,06/30/2017
READM_30_HF,Heart Failure (HF) 30-Day Readmission Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_HF_HRRP,Heart Failure (HF) 30-Day Readmissions,3Q2014,07/01/2014,2Q2017,06/30/2017
READM_30_HIP_KNEE,30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty,3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_HIP_KNEE_HRRP,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2014,07/01/2014,2Q2017,06/30/2017
READM_30_HOSP_WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,3Q2017,07/01/2017,2Q2018,06/30/2018
READM_30_IPF,Rate of readmission after discharge from hospital,3Q2015,07/01/2015,2Q2017,06/30/2017
READM_30_PN,Pneumonia 30-Day Readmission Rate,3Q2015,07/01/2015,2Q2018,06/30/2018
READM_30_PN_HRRP,Pneumonia 30-Day Readmissions,3Q2014,07/01/2014,2Q2017,06/30/2017
SEP_1,Severe Sepsis and Septic Shock,1Q2018,01/01/2018,4Q2018,12/31/2018
SMD,Screening for Metabolic Disorders,1Q2017,01/01/2017,4Q2017,12/31/2017
SM_5,Safe Surgery Checklist Use,1Q2017,01/01/2017,4Q2017,12/31/2017
SM_6,Hospital Survey on Patient Safety Culture,1Q2017,01/01/2017,4Q2017,12/31/2017
SUB_1,Alcohol Use Screening,1Q2017,01/01/2017,4Q2017,12/31/2017
SUB_2,Alcohol Use Brief Intervention Provided or Offered,1Q2017,01/01/2017,4Q2017,12/31/2017
SUB_2a,Alcohol Use Brief Intervention,1Q2017,01/01/2017,4Q2017,12/31/2017
SUB_3,Alcohol and other Drug Use Disorder Treatment Provided or Offered at Discharge,1Q2017,01/01/2017,4Q2017,12/31/2017
SUB_3a,Alcohol and other Drug Use Disorder Treatment Provided at Discharge,1Q2017,01/01/2017,4Q2017,12/31/2017
Sfusion,Spinal Fusion Clinical Episode-Based Payment,1Q2017,01/01/2017,4Q2017,12/31/2017
Star Rating,HCAHPS Summary Star Rating,1Q2018,01/01/2018,4Q2018,12/31/2018
TOB_1,Tobacco Use Screening,1Q2017,01/01/2017,4Q2017,12/31/2017
TOB_2,Tobacco Use Treatment Provided or Offered,1Q2017,01/01/2017,4Q2017,12/31/2017
TOB_2a,Tobacco Use Treatment (during the hospital stay),1Q2017,01/01/2017,4Q2017,12/31/2017
TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,1Q2017,01/01/2017,4Q2017,12/31/2017
TOB_3a,Tobacco Use Treatment at Discharge,1Q2017,01/01/2017,4Q2017,12/31/2017
TR1,Transition Record with Specified Elements,1Q2017,01/01/2017,4Q2017,12/31/2017
TR2,Timely Transmission of Transition Record,1Q2017,01/01/2017,4Q2017,12/31/2017
VTE_6,Hospital Acquired Potentially-Preventable Venous Thromboembolism,1Q2018,01/01/2018,4Q2018,12/31/2018
